"dataset_id","dataset_name","original_code","original_name","reason"
4,"Sustainable Development Goals (Raw Indicators)",NA,"OECD members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Oceania","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Oceania","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Oceania","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Oceania","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Oceania","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Oceania","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Oceania","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Oceania","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Oceania","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Oceania","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Small Island Developing States","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Small Island Developing States","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Small Island Developing States","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Small Island Developing States","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Small Island Developing States","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Small Island Developing States","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Small Island Developing States","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Small Island Developing States","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Small Island Developing States","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Small Island Developing States","Could not map country name to standard code"
